Date,G#,Week,Opp,QB_PassYds,QB_PassTD,Cmp,Att
2025-09-05,1.0,1.0,LAC,258,1,24,39
2025-09-14,2.0,2.0,PHI,187,1,16,29
2025-09-21,3.0,3.0,NYG,224,1,22,37
2025-09-28,4.0,4.0,BAL,270,4,25,37
2025-10-06,5.0,5.0,JAX,318,1,29,41
2025-10-12,6.0,6.0,DET,257,3,22,30
2025-10-19,7.0,7.0,LVR,286,3,26,35
2025-10-27,8.0,8.0,WAS,299,3,25,34
2025-11-02,9.0,9.0,BUF,250,0,15,34
