Season,Week,Date,Opponent,is_away,PF,PA
2023,1,,Detroit Lions,0,20.0,21.0
2023,2,,Jacksonville Jaguars,1,17.0,9.0
2023,3,,Chicago Bears,0,41.0,10.0
2023,4,,New York Jets,1,23.0,20.0
2023,5,,Minnesota Vikings,1,27.0,20.0
2023,6,,Denver Broncos,0,19.0,8.0
2023,7,,Los Angeles Chargers,0,31.0,17.0
2023,8,,Denver Broncos,1,9.0,24.0
2023,9,,Miami Dolphins,0,21.0,14.0
2023,10,,Bye Week,0,,
2023,11,,Philadelphia Eagles,0,17.0,21.0
2023,12,,Las Vegas Raiders,1,31.0,17.0
2023,13,,Green Bay Packers,1,19.0,27.0
2023,14,,Buffalo Bills,0,17.0,20.0
2023,15,,New England Patriots,1,27.0,17.0
2023,16,,Las Vegas Raiders,0,14.0,20.0
2023,17,,Cincinnati Bengals,0,25.0,17.0
2023,18,,Los Angeles Chargers,1,13.0,12.0
2023,Wild Card,,Miami Dolphins,0,26.0,7.0
2023,Division,,Buffalo Bills,1,27.0,24.0
2023,Conf. Champ.,,Baltimore Ravens,1,17.0,10.0
2023,SuperBowl,,San Francisco 49ers,0,25.0,22.0
