Date,G#,Week,Opp,QB_PassYds,QB_PassTD,Cmp,Att,Season,Date_team,Opponent,is_away,PF,PA
2025-09-05,1.0,1.0,LAC,258,1,24,39,2025,,Los Angeles Chargers,1,21.0,27.0
2025-09-14,2.0,2.0,PHI,187,1,16,29,2025,,Philadelphia Eagles,0,17.0,20.0
2025-09-21,3.0,3.0,NYG,224,1,22,37,2025,,New York Giants,1,22.0,9.0
2025-09-28,4.0,4.0,BAL,270,4,25,37,2025,,Baltimore Ravens,0,37.0,20.0
2025-10-06,5.0,5.0,JAX,318,1,29,41,2025,,Jacksonville Jaguars,1,28.0,31.0
2025-10-12,6.0,6.0,DET,257,3,22,30,2025,,Detroit Lions,0,30.0,17.0
